gene	cell_type	source	species	tissue	weight
Aqp4	Astrocyte	panglaodb_brain	mouse	brain	0.90
Gfap	Astrocyte	panglaodb_brain	mouse	brain	0.92
S100b	Astrocyte	panglaodb_brain	mouse	brain	0.78
Slc1a2	Astrocyte	panglaodb_brain	mouse	brain	0.85
Mbp	Oligodendrocyte	panglaodb_brain	mouse	brain	0.95
Mog	Oligodendrocyte	panglaodb_brain	mouse	brain	0.94
Plp1	Oligodendrocyte	panglaodb_brain	mouse	brain	0.92
Mag	Oligodendrocyte	panglaodb_brain	mouse	brain	0.88
Olig1	Polydendrocyte	panglaodb_brain	mouse	brain	0.80
Olig2	Polydendrocyte	panglaodb_brain	mouse	brain	0.82
Pdgfra	Polydendrocyte	panglaodb_brain	mouse	brain	0.86
Cx3cr1	Microglia	panglaodb_brain	mouse	brain	0.89
Csf1r	Microglia	panglaodb_brain	mouse	brain	0.87
Aif1	Microglia	panglaodb_brain	mouse	brain	0.85
P2ry12	Microglia	panglaodb_brain	mouse	brain	0.91
Pecam1	Endothelial	panglaodb_brain	mouse	brain	0.88
Cdh5	Endothelial	panglaodb_brain	mouse	brain	0.85
Cldn5	Endothelial	panglaodb_brain	mouse	brain	0.83
Acta2	Mural	panglaodb_brain	mouse	brain	0.80
Myh11	Mural	panglaodb_brain	mouse	brain	0.78
Rgs5	Mural	panglaodb_brain	mouse	brain	0.82
Pvrl3	CA1 pyramidal neuron	panglaodb_brain	mouse	brain	0.85
Wfs1	CA1 pyramidal neuron	panglaodb_brain	mouse	brain	0.86
Pcp4	CA1 pyramidal neuron	panglaodb_brain	mouse	brain	0.82
Prox1	Dentate granule cell	panglaodb_brain	mouse	brain	0.90
Calb1	Dentate granule cell	panglaodb_brain	mouse	brain	0.83
C1ql2	Dentate granule cell	panglaodb_brain	mouse	brain	0.81
Gad1	Interneuron	panglaodb_brain	mouse	brain	0.92
Gad2	Interneuron	panglaodb_brain	mouse	brain	0.91
Pvalb	Interneuron	panglaodb_brain	mouse	brain	0.88
Sst	Interneuron	panglaodb_brain	mouse	brain	0.85
Vip	Interneuron	panglaodb_brain	mouse	brain	0.83
Foxj1	Ependymal	panglaodb_brain	mouse	brain	0.93
Stoml3	Ependymal	panglaodb_brain	mouse	brain	0.85
Sox2	Neural stem cell	panglaodb_brain	mouse	brain	0.84
Nes	Neural stem cell	panglaodb_brain	mouse	brain	0.80
Dcx	Neuroblast	panglaodb_brain	mouse	brain	0.86
