gene	cell_type	source	species	tissue	weight
Cd3d	T cell	panglaodb_immune	mouse	immune	0.95
Cd3e	T cell	panglaodb_immune	mouse	immune	0.94
Cd3g	T cell	panglaodb_immune	mouse	immune	0.93
Trac	T cell	panglaodb_immune	mouse	immune	0.90
Cd4	CD4+ T cell	panglaodb_immune	mouse	immune	0.92
Foxp3	Regulatory T cell	panglaodb_immune	mouse	immune	0.93
Il2ra	Regulatory T cell	panglaodb_immune	mouse	immune	0.85
Cd8a	CD8+ T cell	panglaodb_immune	mouse	immune	0.93
Cd8b1	CD8+ T cell	panglaodb_immune	mouse	immune	0.91
Gzmb	Cytotoxic T cell	panglaodb_immune	mouse	immune	0.87
Prf1	Cytotoxic T cell	panglaodb_immune	mouse	immune	0.85
Cd19	B cell	panglaodb_immune	mouse	immune	0.93
Ms4a1	B cell	panglaodb_immune	mouse	immune	0.91
Cd79a	B cell	panglaodb_immune	mouse	immune	0.92
Cd79b	B cell	panglaodb_immune	mouse	immune	0.90
Jchain	Plasma cell	panglaodb_immune	mouse	immune	0.92
Mzb1	Plasma cell	panglaodb_immune	mouse	immune	0.88
Sdc1	Plasma cell	panglaodb_immune	mouse	immune	0.86
Ncr1	NK cell	panglaodb_immune	mouse	immune	0.90
Klrb1c	NK cell	panglaodb_immune	mouse	immune	0.88
Nkg7	NK cell	panglaodb_immune	mouse	immune	0.86
Cd14	Monocyte	panglaodb_immune	mouse	immune	0.92
Ly6c1	Monocyte	panglaodb_immune	mouse	immune	0.90
Ccr2	Monocyte	panglaodb_immune	mouse	immune	0.85
Adgre1	Macrophage	panglaodb_immune	mouse	immune	0.90
Cd68	Macrophage	panglaodb_immune	mouse	immune	0.88
Mrc1	Macrophage	panglaodb_immune	mouse	immune	0.85
Itgax	Dendritic cell	panglaodb_immune	mouse	immune	0.87
Cd83	Dendritic cell	panglaodb_immune	mouse	immune	0.85
Mpo	Neutrophil	panglaodb_immune	mouse	immune	0.93
S100a8	Neutrophil	panglaodb_immune	mouse	immune	0.92
S100a9	Neutrophil	panglaodb_immune	mouse	immune	0.91
Ly6g	Neutrophil	panglaodb_immune	mouse	immune	0.88
Mcpt8	Basophil	panglaodb_immune	mouse	immune	0.88
Cpa3	Mast cell	panglaodb_immune	mouse	immune	0.90
Kit	Mast cell	panglaodb_immune	mouse	immune	0.85
