gene	cell_type	source	species	tissue	weight
Nphs1	Podocyte	panglaodb_kidney	mouse	kidney	0.95
Nphs2	Podocyte	panglaodb_kidney	mouse	kidney	0.93
Wt1	Podocyte	panglaodb_kidney	mouse	kidney	0.88
Synpo	Podocyte	panglaodb_kidney	mouse	kidney	0.85
Slc34a1	Proximal tubule	panglaodb_kidney	mouse	kidney	0.92
Slc5a2	Proximal tubule	panglaodb_kidney	mouse	kidney	0.90
Lrp2	Proximal tubule	panglaodb_kidney	mouse	kidney	0.89
Cubn	Proximal tubule	panglaodb_kidney	mouse	kidney	0.86
Slc12a1	Loop of Henle	panglaodb_kidney	mouse	kidney	0.93
Umod	Loop of Henle	panglaodb_kidney	mouse	kidney	0.90
Cldn16	Loop of Henle	panglaodb_kidney	mouse	kidney	0.85
Slc12a3	Distal convoluted tubule	panglaodb_kidney	mouse	kidney	0.92
Calb1	Distal convoluted tubule	panglaodb_kidney	mouse	kidney	0.84
Aqp2	Collecting duct principal cell	panglaodb_kidney	mouse	kidney	0.95
Aqp3	Collecting duct principal cell	panglaodb_kidney	mouse	kidney	0.88
Hsd11b2	Collecting duct principal cell	panglaodb_kidney	mouse	kidney	0.85
Slc4a1	Collecting duct intercalated cell	panglaodb_kidney	mouse	kidney	0.90
Atp6v1b1	Collecting duct intercalated cell	panglaodb_kidney	mouse	kidney	0.88
Slc26a4	Collecting duct intercalated cell	panglaodb_kidney	mouse	kidney	0.85
Emcn	Endothelial	panglaodb_kidney	mouse	kidney	0.86
Pecam1	Endothelial	panglaodb_kidney	mouse	kidney	0.85
Kdr	Endothelial	panglaodb_kidney	mouse	kidney	0.83
Pdgfrb	Mesangial cell	panglaodb_kidney	mouse	kidney	0.85
Acta2	Mesangial cell	panglaodb_kidney	mouse	kidney	0.80
Adgre1	Macrophage	panglaodb_kidney	mouse	kidney	0.88
Cd68	Macrophage	panglaodb_kidney	mouse	kidney	0.85
Cd3d	T cell	panglaodb_kidney	mouse	kidney	0.92
Cd3e	T cell	panglaodb_kidney	mouse	kidney	0.91
